iter	Accuracy	Logloss
0	0.8224956063	0.6635675228
1	0.8277680141	0.6388082243
2	0.8189806678	0.6149676705
3	0.8295254833	0.5928754901
4	0.8330404218	0.5717380013
5	0.8330404218	0.5558276129
6	0.8330404218	0.5411021154
7	0.8312829525	0.5265322636
8	0.834797891	0.5192451536
9	0.8365553603	0.506216447
10	0.834797891	0.4948117594
11	0.8400702988	0.4837142955
12	0.8383128295	0.4765254005
13	0.8365553603	0.4694214989
14	0.8383128295	0.4595096526
15	0.8400702988	0.4535033674
16	0.841827768	0.4475310396
17	0.841827768	0.4411263362
18	0.841827768	0.4335023556
19	0.841827768	0.4291417047
20	0.841827768	0.4250609903
21	0.841827768	0.4201004178
22	0.841827768	0.4144787119
23	0.841827768	0.4122007165
24	0.8435852373	0.4071032809
25	0.8435852373	0.4020021691
26	0.8435852373	0.3987337403
27	0.8435852373	0.3981739167
28	0.8435852373	0.3952491821
29	0.8435852373	0.3940089825
30	0.8435852373	0.3909857556
31	0.8435852373	0.3888866711
32	0.8471001757	0.3860230522
33	0.8471001757	0.3855806049
34	0.8435852373	0.383522262
35	0.8453427065	0.3817601763
36	0.8435852373	0.3806246467
37	0.8523725835	0.3780524244
38	0.8576449912	0.3766674915
39	0.8594024605	0.3747654193
40	0.8611599297	0.3745651822
41	0.8594024605	0.3729861317
42	0.8576449912	0.3707471135
43	0.8594024605	0.3677987229
44	0.8594024605	0.3669303882
45	0.8594024605	0.3655949544
46	0.8594024605	0.3630516519
47	0.8594024605	0.3621197154
48	0.8576449912	0.3610223981
49	0.8611599297	0.3590732113
50	0.8629173989	0.3583601509
51	0.8611599297	0.3547355842
52	0.8646748682	0.3538194797
53	0.8646748682	0.3525235983
54	0.8664323374	0.3515570877
55	0.8664323374	0.3506692693
56	0.8681898067	0.3486477901
57	0.8681898067	0.3469731275
58	0.8664323374	0.3461340129
59	0.8681898067	0.3437554296
60	0.8681898067	0.3426944996
61	0.8681898067	0.3408381547
62	0.8681898067	0.3396448611
63	0.8681898067	0.3394393463
64	0.8681898067	0.3387239263
65	0.8699472759	0.3382189741
66	0.8699472759	0.3381513777
67	0.8699472759	0.3368996224
68	0.8717047452	0.3363947475
69	0.8734622144	0.3361059121
70	0.8752196837	0.3334937727
71	0.8752196837	0.3324173712
72	0.8752196837	0.3309898228
73	0.8752196837	0.3305592009
74	0.8752196837	0.3299003745
75	0.8752196837	0.3298955579
76	0.8752196837	0.329835063
77	0.8752196837	0.329017383
78	0.8752196837	0.3290171941
79	0.8752196837	0.3271748342
80	0.8734622144	0.3268010078
81	0.8734622144	0.3267858567
82	0.8752196837	0.3266566677
83	0.8752196837	0.3254932538
84	0.8769771529	0.3249339559
85	0.8752196837	0.3248932945
86	0.8769771529	0.3229113347
87	0.8769771529	0.3227475615
88	0.8769771529	0.3213437427
89	0.8769771529	0.3212946616
90	0.8769771529	0.3208433048
91	0.8804920914	0.3197546619
92	0.8840070299	0.3187549192
93	0.8840070299	0.3182246877
