iter	Passed	Remaining
0	171	85489
1	188	46855
2	207	34340
3	228	28298
4	248	24586
5	268	22135
6	284	20049
7	305	18767
8	313	17122
9	337	16532
10	357	15905
11	379	15422
12	404	15148
13	441	15338
14	461	14929
15	482	14583
16	502	14275
17	523	14016
18	543	13753
19	559	13428
20	580	13233
21	599	13026
22	618	12833
23	644	12776
24	665	12637
25	685	12501
26	704	12337
27	711	11989
28	731	11885
29	751	11778
30	772	11682
31	792	11592
32	812	11503
33	822	11279
34	843	11207
35	864	11137
36	877	10975
37	897	10912
38	922	10907
39	944	10858
40	951	10656
41	971	10598
42	991	10540
43	1012	10495
44	1035	10469
45	1055	10417
46	1075	10364
47	1095	10317
48	1115	10264
49	1134	10212
50	1154	10168
51	1174	10120
52	1195	10082
53	1216	10047
54	1236	10007
55	1257	9967
56	1277	9926
57	1297	9891
58	1316	9843
59	1337	9808
60	1357	9771
61	1378	9738
62	1399	9708
63	1412	9622
64	1432	9585
65	1453	9557
66	1460	9441
67	1480	9403
68	1500	9373
69	1520	9339
70	1541	9314
71	1561	9284
72	1581	9252
73	1601	9221
74	1622	9193
75	1632	9108
76	1639	9007
77	1659	8976
78	1666	8880
79	1686	8852
80	1706	8828
81	1723	8784
82	1730	8694
83	1751	8672
84	1773	8657
85	1783	8585
86	1803	8562
87	1816	8504
88	1837	8485
89	1845	8405
90	1861	8367
91	1883	8351
92	1904	8334
93	1926	8319
94	1948	8304
95	1969	8289
96	1991	8273
97	2012	8253
98	2026	8206
99	2047	8188
100	2067	8166
101	2087	8145
102	2107	8123
103	2127	8101
104	2149	8084
105	2165	8049
106	2185	8027
107	2206	8009
108	2227	7991
109	2248	7973
110	2269	7954
111	2296	7956
112	2318	7939
113	2344	7938
114	2364	7916
115	2384	7893
116	2405	7874
117	2426	7855
118	2443	7823
119	2465	7807
120	2489	7796
121	2508	7771
122	2528	7750
123	2549	7730
124	2559	7679
125	2566	7618
126	2586	7596
127	2607	7577
128	2626	7554
129	2636	7504
130	2656	7483
131	2676	7462
132	2698	7446
133	2719	7429
134	2740	7408
135	2762	7393
136	2784	7377
137	2805	7360
138	2827	7344
139	2849	7327
140	2864	7293
141	2884	7273
142	2907	7257
143	2932	7249
144	2953	7230
145	2973	7210
146	2994	7191
147	3005	7147
148	3026	7130
149	3047	7109
150	3067	7088
151	3087	7067
152	3107	7047
153	3127	7027
154	3148	7007
155	3169	6989
156	3189	6969
157	3209	6947
158	3229	6926
159	3250	6906
160	3270	6886
161	3291	6866
162	3311	6846
163	3332	6827
164	3353	6808
165	3374	6790
166	3396	6771
167	3417	6753
168	3439	6736
169	3459	6716
170	3480	6697
171	3503	6680
172	3524	6661
173	3546	6643
174	3567	6625
175	3588	6606
176	3610	6588
177	3631	6568
178	3652	6550
179	3674	6532
180	3696	6515
181	3718	6496
182	3738	6476
183	3759	6457
184	3781	6438
185	3802	6419
186	3823	6400
187	3845	6382
188	3866	6361
189	3886	6341
190	3908	6322
191	3929	6302
192	3949	6282
193	3969	6260
194	3991	6242
195	4017	6231
196	4044	6220
197	4069	6206
198	4089	6185
199	4111	6167
200	4131	6146
201	4152	6126
202	4174	6106
203	4194	6086
204	4215	6065
205	4236	6045
206	4256	6024
207	4278	6006
208	4302	5990
209	4322	5969
210	4345	5952
211	4382	5953
212	4403	5933
213	4423	5911
214	4442	5889
215	4463	5868
216	4484	5847
217	4504	5827
218	4525	5806
219	4546	5786
220	4566	5764
221	4586	5743
222	4607	5723
223	4628	5702
224	4648	5681
225	4669	5660
226	4689	5640
227	4711	5620
228	4731	5599
229	4761	5589
230	4792	5580
231	4815	5562
232	4840	5546
233	4861	5526
234	4883	5506
235	4905	5487
236	4929	5470
237	4951	5450
238	4972	5430
239	4993	5409
240	5013	5387
241	5033	5366
242	5054	5345
243	5075	5324
244	5095	5303
245	5116	5283
246	5137	5261
247	5157	5240
248	5179	5221
249	5201	5201
250	5215	5174
251	5237	5153
252	5257	5133
253	5277	5111
254	5298	5090
255	5319	5069
256	5339	5048
257	5360	5028
258	5381	5007
259	5402	4986
260	5422	4965
261	5443	4945
262	5464	4923
263	5484	4903
264	5506	4882
265	5528	4862
266	5549	4842
267	5569	4821
268	5590	4801
269	5611	4779
270	5631	4758
271	5651	4737
272	5671	4716
273	5692	4695
274	5712	4673
275	5733	4652
276	5753	4631
277	5773	4610
278	5793	4589
279	5814	4568
280	5835	4547
281	5855	4526
282	5876	4505
283	5897	4485
284	5917	4464
285	5938	4443
286	5958	4422
287	5980	4402
288	6001	4381
289	6021	4360
290	6042	4339
291	6062	4318
292	6083	4297
293	6103	4276
294	6124	4255
295	6144	4234
296	6166	4214
297	6186	4193
298	6207	4172
